"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
793,"CALB1",-7.53774309143486,4.08126785113616e-36,4.66760999908272e-33,-7.21156931922458,1.12963940004447e-20,5.56812550157215e-18,-7.53774309143486,4.08126785113579e-36,4.58564453640532e-33
825,"CAPN3",-1.13660032180581,0.00739385503244334,0.039088315279373,-4.01209057683509,4.64167876149096e-05,0.001117670896032,-1.13660032180581,0.00739385503244338,0.038745179713344
846,"CASR",-4.10428950574192,1.6046816700277e-11,1.04372754689385e-09,-6.10884157372679,1.37260004138561e-10,1.35314141726949e-08,-4.10428950574192,1.60468167002768e-11,1.02539919227409e-09
847,"CAT",-1.29467728728337,9.51030510277892e-06,0.00015575110648035,-2.33436665057225,0.00235749895802215,0.0281405448984994,-1.29467728728337,9.51030510277841e-06,0.000153934506243411
857,"CAV1",2.45163162059431,1.00425182334029e-11,6.82294654629811e-10,3.35617157772541,0.00010336310282606,0.00220670349077966,2.45163162059431,1.00425182334024e-11,6.70313234361209e-10
858,"CAV2",2.23905212677679,7.76835399833745e-24,3.67630656114425e-21,2.18827427073145,0.00303007488981702,0.0340355395968119,2.23905212677679,7.76835399833689e-24,3.61174886067504e-21
861,"RUNX1",1.74062461220994,4.58313080204209e-08,1.43277647214637e-06,4.70422689982433,2.05138176379389e-05,0.0005448352928593,1.74062461220994,4.58313080204195e-08,1.41082996812629e-06
866,"SERPINA6",-2.55018717833875,0.00220666248259458,0.0148218469803434,-2.83813958904315,0.00020909337447686,0.00391530264006458,-2.55018717833875,0.00220666248259458,0.0146981953228453
891,"CCNB1",1.21493114770912,8.30037523279492e-05,0.00098883984110136,2.52411559922366,0.00259043034843146,0.0302108714052629,1.21493114770912,8.30037523279447e-05,0.000978268874683285
914,"CD2",1.68142475173977,0.00221288858663396,0.014850700715386,3.19517393261043,0.00083886407226858,0.012461637492818,1.68142475173977,0.00221288858663404,0.0147267407766963
919,"CD247",1.95305966532503,3.63653712552787e-05,0.00049218772693041,2.95126362740749,0.00236439449330302,0.0281827079041717,1.95305966532503,3.63653712552801e-05,0.000486905958922484
942,"CD86",1.65067767770745,3.19093033016319e-05,0.00044201231988317,3.2749008844759,0.00068469664697886,0.0104411566030198,1.65067767770745,3.19093033016325e-05,0.000437339551743943
949,"SCARB1",1.79219904676784,4.99588617944333e-08,1.53729914633812e-06,3.66378691657722,2.8994838978338e-06,0.0001003976252971,1.79219904676784,4.99588617944308e-08,1.51369737881868e-06
957,"ENTPD5",-1.39113987056099,0.00021214790172418,0.00216953636606756,-2.92732311722783,6.71492916319806e-05,0.00155435770505575,-1.39113987056099,0.000212147901724173,0.00214744005926954
