GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
782,112,11,298,29
7813,169,100,478,182
9399,782,360,724,269
5315,54738,9882,120846,10742
54505,788,432,652,825
30836,1440,1838,585,719
79091,494,315,291,164
7158,993,399,1227,672
7216,653,161,276,196
51018,305,297,448,480
387,8161,4324,7589,6006
1659,1959,785,754,673
5590,251,642,625,792
7544,186,53,2,2
55699,1440,1105,5026,2767
6857,47,15,3,65
89795,205,9,25,31
3421,4505,5371,2848,3479
79641,846,1751,2052,1947
57595,220,70,134,136
492,1,2,0,20
6093,549,232,1328,683
865,619,87,1801,262
5165,324,141,352,166
8692,3773,682,2477,1741
9759,224,81,670,177
11186,841,424,683,452
2261,389,1357,116,1389
3430,3114,1539,713,954
63897,246,40,472,158
80347,3718,5625,1463,1789
79990,925,231,606,222
4205,546,74,2426,725
55593,2472,1529,2617,1288
7030,1357,267,1893,698
4943,626,156,864,266
2182,1830,1139,957,1277
3632,508,904,1409,567
27238,1068,566,804,685
56850,1319,296,2906,1194
24140,1753,448,522,297
55771,66,2,206,11
65055,45,209,161,146
23250,737,241,12355,902
25885,578,274,1254,436
9741,16831,7400,12252,12098
57217,795,317,863,567
51447,1790,1184,2457,1984
286749,68,0,156,0
55133,199,136,639,222
3796,193,25,222,102
10235,630,215,268,125
23198,1201,1611,620,677
57560,433,155,356,374
22933,1565,753,1380,734
27248,1259,467,1773,916
5526,528,138,2104,445
5837,102,45,70,50
8712,0,0,0,0
5307,123,2,6,2
57113,41,11,1,65
375449,591,1888,708,932
221395,2100,1375,2669,2722
54549,148,2,24,124
8756,4,24,3,14
55746,738,528,1167,618
64710,4089,5198,4394,4017
55737,1257,852,2657,1563
10294,1035,565,1010,1087
602,1293,55,283,122
8514,826,582,1265,1249
10060,598,160,444,251
51083,12,0,0,1
29121,670,64,320,91
139341,1102,275,521,469
4129,4082,3632,8195,6140
6095,914,877,954,700
1815,6,1,20,8
7049,144,835,5080,1342
8399,1,1,4,1
100652777,1,1,4,1
54626,212,85,86,71
483,2875,2069,1668,1364
4734,277,68,423,348
9488,529,349,231,155
5597,441,251,564,519
10681,602,1374,2215,1600
5873,353,99,731,154
27440,1245,614,2506,916
7353,4615,913,1937,1244
4040,181,115,1135,420
2984,15,4,39,21
6343,15,7,5,2
57661,492,123,859,404
8518,744,846,1261,783
4925,1964,869,939,814
5217,3388,2519,2081,2158
5774,690,936,2430,2302
6710,23,208,56,83
27071,66,7,57,16
2255,10,0,0,5
23446,967,1305,863,1325
54916,407,182,597,344
23293,818,486,1503,578
10640,498,274,1643,479
8218,456,137,316,115
27006,11,24,1,12
10272,3850,758,4850,972
9993,4007,1646,4619,1787
55658,1130,599,1783,710
4335,405,55,1478,243
79364,609,176,985,480
23210,1215,664,861,382
5423,240,301,207,194
55808,3,2,0,2
55062,792,380,1611,1202
22844,22,2,89,43
57704,3365,1918,2577,2537
3340,3259,385,4333,1247
440,914,202,850,175
10947,377,273,1115,479
1258,8,2,10,2
10610,51,294,379,457
1103,0,0,1,0
26986,16162,5711,4681,4070
10420,82,47,86,117
29105,1098,441,960,484
1459,1960,691,528,813
11099,230,183,698,283
8891,750,712,1098,569
815,8,20,3,60
